Model,Vectorizer,Set,Measurement,Score
Multinomial Naive Bayes,Count,Training,Accuracy,0.9214
Multinomial Naive Bayes,Count,Testing,Accuracy,0.8196
Multinomial Naive Bayes,Tf-idf,Training,Accuracy,0.9536
Multinomial Naive Bayes,Tf-idf,Testing,Accuracy,0.8031
Logistic Regression,Count,Training,Accuracy,0.9317
Logistic Regression,Count,Testing,Accuracy,0.8237
Logistic Regression,Tf-idf,Training,Accuracy,0.9014
Logistic Regression,Tf-idf,Testing,Accuracy,0.8237
Random Forest Classifier,Count,Training,Accuracy,0.9975
Random Forest Classifier,Count,Testing,Accuracy,0.7993
Random Forest Classifier,Tf-idf,Training,Accuracy,0.9975
Random Forest Classifier,Tf-idf,Testing,Accuracy,0.8022
Kneighbor Classifier,Count,Training,Accuracy,0.9975
Kneighbor Classifier,Count,Testing,Accuracy,0.5589
Kneighbor Classifier,Tf-idf,Training,Accuracy,0.7954
Kneighbor Classifier,Tf-idf,Testing,Accuracy,0.5815
Multinomial Naive Bayes,Count,Training,F1 Score,0.9257
Multinomial Naive Bayes,Count,Testing,F1 Score,0.8295
Multinomial Naive Bayes,Tf-idf,Training,F1 Score,0.9565
Multinomial Naive Bayes,Tf-idf,Testing,F1 Score,0.8167
Logistic Regression,Count,Training,F1 Score,0.9365
Logistic Regression,Count,Testing,F1 Score,0.8383
Logistic Regression,Tf-idf,Training,F1 Score,0.9089
Logistic Regression,Tf-idf,Testing,F1 Score,0.8392
Random Forest Classifier,Count,Training,F1 Score,0.9975
Random Forest Classifier,Count,Testing,F1 Score,0.7993
Random Forest Classifier,Tf-idf,Training,F1 Score,0.9976
Random Forest Classifier,Tf-idf,Testing,F1 Score,0.8212
Kneighbor Classifier,Count,Training,F1 Score,0.9977
Kneighbor Classifier,Count,Testing,F1 Score,0.6022
Kneighbor Classifier,Tf-idf,Training,F1 Score,0.8132
Kneighbor Classifier,Tf-idf,Testing,F1 Score,0.6212
